Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0034422,-0.00059358,0.080023,0,0,0,0.46179,0.0010394,5.8492E-06,-4.2179E-06,0.0014555,5.857E-06,0.0018135,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/base_link.STL,,P01_Chassis-1;P03_Bogie_Bearing-1;A08_Top_Assembly-1/P11_Top-1;A08_Top_Assembly-1/P21_Mast-1;A08_Top_Assembly-1/P12_Solar_Panel-1;A08_Top_Assembly-1/P12_Solar_Panel-2;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MRB_link,-4.7549E-06,0.0051724,-0.053204,0,0,0,0.10838,4.8736E-05,1.487E-09,1.5114E-08,0.00029223,-2.6526E-07,0.0002574,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/MRB_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/MRB_link.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/P19_Bogie-2;A05_Bogie-1/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-1/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_MRB_joint,Axis_MRB_joint,MRB_joint,revolute,-0.082,0,0.017,1.5708,0,1.5708,base_link,0,0,-1,0,0,1,1,,,,,,,,
STR_LR_link,-0.012457,0.00022549,-0.033761,0,0,0,0.071174,3.3688E-05,-8.9803E-09,-4.7385E-06,4.106E-05,-1.4036E-07,1.5915E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LR_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LR_joint,Axis_STR_LR_joint,STR_LR_joint,revolute,0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
DRV_LR_link,0.031467,0.072872,0.10378,0,0,0,0.056973,8.0499E-05,-6.3012E-08,1.2131E-11,5.2111E-05,1.4281E-11,5.2306E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LR_link.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LR_joint,Axis_DRV_LR_joint,DRV_LR_joint,continuous,-0.021614,-0.10378,0.015418,-1.5708,0,0,STR_LR_link,0,0,1,,,,,,,,,,,,
STR_RR_link,-0.0124555119207004,-0.000225533347028822,-0.0337608863888986,0,0,0,0.071173105016733,3.36872651590183E-05,8.07921081357608E-09,-4.74135535852484E-06,4.10633342810781E-05,1.40511475060575E-07,1.59192004795905E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RR_joint,Axis_STR_RR_joint,STR_RR_joint,revolute,-0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,0,0,,,,,,,,
DRV_RR_link,0.0314671815371365,0.0728723179165185,-0.103780043928043,0,0,0,0.0569725827075564,8.04986816304343E-05,-6.3011767107178E-08,1.21312261112933E-11,5.21106389985384E-05,1.42808035674551E-11,5.23057476713962E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RR_joint,Axis_DRV_RR_joint,DRV_RR_joint,continuous,-0.021614,0.10378,0.015418,-1.5708,0,0,STR_RR_link,0,0,1,,,,,,,,,,,,
RFB_link,-0.0263258310482531,0.00628258066571832,1.60029852358315E-05,0,0,0,0.0924731809037187,0.000113483415744406,-4.18265340510287E-07,1.98435780729848E-09,0.000122753676437502,4.34830525832149E-09,2.29318171883021E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/RFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/RFB_link.STL,,A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/Parallax-Servo-ASM-3/Parallax-Servo-1;A05_Bogie-3/Parallax-Servo-ASM-2/Parallax-Servo-1,Origin_RFB_joint,Axis_RFB_joint,RFB_joint,revolute,0.055,-0.062,0.017,1.5549,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
STR_RF_link,-0.0344555107840984,-0.0491790839210982,0.0802255353642999,0,0,0,0.0711731123513564,3.36872678189227E-05,-4.74135711620255E-06,-8.08388204163537E-09,1.59192030092836E-05,-1.40514255182746E-07,4.10633381534301E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RF_joint,Axis_STR_RF_joint,STR_RF_joint,revolute,-0.019775,0,0,0,0,0,RFB_link,0,0,1,0,0,0,0,,,,,,,,
DRV_RF_link,-0.016532818451544,-0.0728723179165183,0.0800000439280448,0,0,0,0.0569725827075563,8.04986816304343E-05,6.30117671071577E-08,-1.21312260936329E-11,5.21106389985383E-05,1.4280803527455E-11,5.23057476713964E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RF_joint,Axis_DRV_RF_joint,DRV_RF_joint,continuous,0.0043862,0,0,0,0,0,STR_RF_link,0,0,-1,,,,,,,,,,,,
STR_RM_link,-0.0344570290035743,-0.0491787008492301,-0.0802254845265562,0,0,0,0.0711741620458433,3.36879468050997E-05,-4.7385070237828E-06,8.97622796968714E-09,1.59152316780872E-05,1.40352149406493E-07,4.10598352109841E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RM_joint,Axis_STR_RM_joint,STR_RM_joint,continuous,-0.019775,0,0,0,0,0,RFB_link,0,0,1,,,,,,,,,,,,
DRV_RM_link,-0.0165328184402209,-0.0728723179165187,-0.0799999560369216,0,0,0,0.0569725827075566,8.04986816304345E-05,6.30117671071895E-08,-1.21312260680937E-11,5.21106389985385E-05,1.42808035922001E-11,5.23057476713965E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RM_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_RM_joint,Axis_DRV_RM_joint,DRV_RM_joint,continuous,0.0043862,0,0,0,0,0,STR_RM_link,0,0,-1,,,,,,,,,,,,
LFB_link,-0.026325831044373,0.00628258071143433,1.60029202154882E-05,0,0,0,0.0924731806442644,0.000113483417193971,-4.18265325949264E-07,1.9843474849086E-09,0.000122753677991828,4.34816478644605E-09,2.29318170765755E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/LFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/LFB_link.STL,,A05_Bogie-2/P19_Bogie-2;A05_Bogie-2/P17_Bogie_Cable_Cover-1;A05_Bogie-2/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-2/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_LFB_joint,Axis_LFB_joint,LFB_joint,continuous,0.055,0.062,0.017,1.5708,0,-1.5708,base_link,0,0,1,,,,,,,,,,,,
STR_LF_link,-0.0344570291004626,-0.0491787009553567,-0.0802254862855219,0,0,0,0.0711741624806841,3.3687947847999E-05,-4.73850731914466E-06,8.98028473566602E-09,1.59152321238694E-05,1.40355471129958E-07,4.10598360484866E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LF_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-2/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-2/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LF_joint,Axis_STR_LF_joint,STR_LF_joint,continuous,-0.019775,0,0,0,0,0,LFB_link,0,0,1,,,,,,,,,,,,
DRV_LF_link,-0.0165328184515428,-0.0728723179165186,-0.0799999560369219,0,0,0,0.0569725827075566,8.04986816304343E-05,6.30117671071824E-08,-1.21312268806798E-11,5.21106389985386E-05,1.42808035659953E-11,5.23057476713962E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LF_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LF_joint,Axis_DRV_LF_joint,DRV_LF_joint,continuous,0.0043862,0,0,0,0,0,STR_LF_link,0,0,1,,,,,,,,,,,,
STR_LM_link,-0.0344555119320244,-0.0491790863888992,0.0802255333119942,0,0,0,0.0711731050167323,3.3687265159018E-05,-4.74135535852495E-06,-8.07921081337301E-09,1.59192004795905E-05,-1.40511475060456E-07,4.10633342810777E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LM_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-2/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-2/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LM_joint,Axis_STR_LM_joint,STR_LM_joint,continuous,-0.019775,0,0,0,0,0,LFB_link,0,0,1,,,,,,,,,,,,
DRV_LM_link,-0.016532818462866,-0.0728723179165183,0.0800000439280445,0,0,0,0.0569725827075566,8.04986816304344E-05,6.30117671071744E-08,-1.21312268738888E-11,5.21106389985386E-05,1.42808035451304E-11,5.23057476713963E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LM_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LM_link.STL,,A05_Bogie-2/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_LM_joint,Axis_DRV_LM_joint,DRV_LM_joint,continuous,0.0043862,0,0,0,0,0,STR_LM_link,0,0,1,,,,,,,,,,,,
head_link,4.05099172861749E-05,0.0118850586865648,0.0302442059611974,0,0,0,0.078891512690109,6.70251107353368E-05,2.39510957059722E-09,-1.02874991606387E-08,0.000206696832834381,-5.15030227255928E-07,0.000246607733219875,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/head_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/head_link.STL,,A08_Top_Assembly-1/A06_Head-1/P20_Head-1;A08_Top_Assembly-1/A06_Head-1/P25_Mouth-1,Origin_head_joint,,head_joint,fixed,0.027,0,0.26928,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
eyewhite_link,0.0519999879024582,-3.12462373083244E-05,0.000860409568077425,0,0,0,0.00447909534854348,4.71996017145732E-07,3.02527120036996E-13,-2.59196121266908E-14,4.71644858227356E-07,1.94300295539225E-11,9.38560485421757E-07,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/eyewhite_link.STL,1,1,1,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/eyewhite_link.STL,,A08_Top_Assembly-1/A06_Head-1/P22_Eye_White-2;A08_Top_Assembly-1/A06_Head-1/P22_Eye_White-1,Origin_eyewhite_joint2,,eyewhite_joint,fixed,-0.052,0.024,0.04,0,0,0,head_link,0,0,0,,,,,,,,,,,,
pupils_link,-0.0519174840998746,0.00748285919842917,0.000632252497896557,0,0,0,0.00180370592614686,5.78044279193744E-08,-3.10353112484797E-10,2.38207763822241E-10,5.4642923289686E-08,2.44973736424874E-09,1.06940274596115E-07,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/pupils_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/pupils_link.STL,,A08_Top_Assembly-1/A06_Head-1/P23_Eye_Pupil-1;A08_Top_Assembly-1/A06_Head-1/P23_Eye_Pupil-2,Origin_pupils_joint2,,pupils_joint,fixed,0.10461,-0.0044591,0.002,0,0,0.13494,eyewhite_link,0,0,0,,,,,,,,,,,,
cam_link,-0.00249086473821686,0.000136649009533494,0.000569820673845034,0,0,0,0.00115745344893818,3.97290092554314E-08,1.65336506578874E-13,-3.60412180475581E-11,2.88827920072803E-08,-2.52492241388416E-13,6.76913771029684E-08,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/cam_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/cam_link.STL,,A08_Top_Assembly-1/A06_Head-1/Raspberry Pi Camera V2-1,Origin_cam_joint,,cam_joint,fixed,9.4215E-05,0.0031547,0.036,0,0,1.5708,head_link,0,0,0,,,,,,,,,,,,
hat_link,3.1955815901622E-08,0.0294025205083059,0.0152014899719377,0,0,0,0.0446228233973554,4.85170602784381E-05,-7.36561851651266E-11,-4.45696698654547E-11,0.000137144944737089,-1.51319761954045E-05,0.000157930625148711,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/hat_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/hat_link.STL,,A08_Top_Assembly-1/A06_Head-1/P26_Hat-1,Origin_hat_joint2,,hat_joint,fixed,0,0,0,0,0,0,head_link,0,0,0,,,,,,,,,,,,
bling_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/bling_link.STL,1,1,1,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/bling_link.STL,,P02_Drill-1;P13_Port_Cover-1,Origin_bling_joint2,,bling_joint,fixed,0.08,0.0225,0,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
